CA Number,Survey Duration,Q-1_Name of the Apartment,Q_5_Floor No,Q-6_Does your bedroom has any of the following characteristics?,Q-9_Apartment Type_bhk,Q-10_adults,Q-10_Children,Q-15-No of Acs,Q-16_No of Refrigerators,Q-17_No of Geysers,Q-18_No of Fans,Q-18_No of Washing Machine,Total Residents
55,338,Una,0,Southfacing,2,2,0,1.0,1,1.0,5,1.0,2
119,342,Anandlok,1,None,3,4,0,4.0,1,1.0,10,1.0,4
144,347,Una,2,None,2,2,1,1.0,1,1.0,6,1.0,3
151,353,Anandlok,2,None,3,3,0,4.0,2,2.0,6,2.0,3
53,357,Una,3,Southfacing,3,4,0,2.0,1,1.0,4,1.0,4
149,359,Una,0,Southfacing,2,2,1,2.0,1,1.0,5,1.0,3
159,361,Una,2,Southfacing,2,2,1,3.0,1,1.0,5,1.0,3
25,366,Anandlok,3,Southfacing,2,3,0,2.0,1,1.0,6,1.0,3
123,371,Anandlok,6,Southfacing,3,3,0,4.0,1,1.0,5,1.0,3
106,379,Anandlok,6,Southfacing,3,3,0,2.0,1,1.0,7,1.0,3
62,386,Una,2,Southfacing,2,2,1,2.0,1,1.0,5,1.0,3
110,391,Anandlok,2,None,3,5,0,2.0,1,1.0,2,1.0,5
43,392,Una,2,None,2,2,1,2.0,1,1.0,5,1.0,3
108,400,Anandlok,1,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
157,400,Una,2,Southfacing,2,4,0,2.0,1,1.0,5,1.0,4
97,403,Anandlok,2,Southfacing,4,1,0,2.0,1,1.0,6,1.0,1
32,405,Una,1,Southfacing,2,3,1,2.0,1,1.0,2,1.0,4
34,414,Una,1,None,2,4,0,2.0,1,1.0,5,1.0,4
145,416,Una,2,None,2,3,0,3.0,1,1.0,4,1.0,3
9,421,Anandlok,3,Southfacing,2,1,0,1.0,1,1.0,5,1.0,1
166,422,Anandlok,0,Southfacing,3,4,0,3.0,2,3.0,7,1.0,4
178,423,Anandlok,2,Southfacing,3,2,0,2.0,1,2.0,5,1.0,2
40,428,Una,0,None,2,2,2,1.0,1,,4,1.0,4
70,429,Una,2,None,2,4,0,2.0,1,1.0,4,1.0,4
118,434,Anandlok,1,Southfacing,3,2,0,2.0,1,1.0,5,1.0,2
23,434,Anandlok,3,Southfacing,4,2,0,2.0,1,2.0,6,,2
58,437,Una,1,None,3,2,1,2.0,1,1.0,2,1.0,3
76,441,Una,2,Southfacing,3,2,3,4.0,2,1.0,6,1.0,5
85,443,Una,2,Southfacing,2,3,1,1.0,1,1.0,5,1.0,4
39,448,Una,1,Southfacing,2,3,1,1.0,1,1.0,5,1.0,4
67,449,Una,0,Southfacing,3,2,0,3.0,1,1.0,4,1.0,2
65,449,Una,0,None,3,2,0,,1,1.0,3,1.0,2
47,449,Una,2,None,2,4,0,3.0,1,1.0,4,,4
172,449,Una,3,None,2,3,1,3.0,1,1.0,4,1.0,4
170,450,Anandlok,6,Southfacing,3,4,0,4.0,1,1.0,5,1.0,4
44,455,Una,1,None,2,4,0,1.0,1,2.0,5,1.0,4
100,456,Anandlok,6,Southfacing,3,2,0,2.0,1,1.0,5,1.0,2
104,464,Anandlok,3,Southfacing,2,3,0,2.0,1,1.0,5,1.0,3
75,464,Una,2,None,3,2,0,1.0,1,1.0,1,1.0,2
31,464,Una,1,None,2,5,0,3.0,1,1.0,6,1.0,5
86,469,Una,2,None,2,2,1,1.0,1,1.0,3,1.0,3
50,470,Una,1,None,2,3,1,2.0,1,1.0,4,1.0,4
57,472,Una,0,Southfacing,2,3,0,2.0,1,1.0,4,1.0,3
135,475,Anandlok,2,Southfacing,4,3,0,2.0,1,2.0,5,1.0,3
66,476,Una,1,Southfacing,3,6,1,3.0,1,2.0,7,1.0,7
84,485,Una,0,Southfacing,2,4,0,2.0,1,1.0,5,1.0,4
45,488,Una,3,None,2,3,0,1.0,1,1.0,4,,3
1,495,Anandlok,0,Southfacing,3,2,0,4.0,1,1.0,6,1.0,2
114,498,Anandlok,6,Southfacing,3,2,0,3.0,1,2.0,5,1.0,2
162,500,Una,1,None,3,2,0,1.0,1,1.0,4,1.0,2
133,502,Anandlok,3,Southfacing,3,4,0,3.0,1,1.0,5,1.0,4
73,507,Una,2,None,2,2,0,1.0,1,1.0,5,1.0,2
95,507,Una,2,None,2,3,0,3.0,1,1.0,5,,3
121,511,Anandlok,1,Southfacing,3,3,0,3.0,1,1.0,5,1.0,3
52,513,Una,3,None,3,3,0,1.0,1,1.0,3,1.0,3
93,519,Anandlok,2,None,3,1,0,2.0,1,1.0,4,1.0,1
80,520,Una,2,None,2,4,0,3.0,1,1.0,4,1.0,4
21,522,Anandlok,3,Southfacing,2,3,0,2.0,1,1.0,4,1.0,3
72,525,Una,2,None,2,1,0,2.0,1,1.0,5,1.0,1
112,526,Anandlok,5,Southfacing,3,1,0,2.0,1,1.0,5,1.0,1
48,528,Una,1,None,2,6,1,3.0,1,1.0,4,1.0,7
33,532,Una,2,Southfacing,3,4,0,2.0,1,1.0,5,1.0,4
38,534,Una,2,None,2,4,0,2.0,1,1.0,3,1.0,4
7,535,Anandlok,1,None,2,2,0,2.0,1,1.0,2,,2
141,543,Anandlok,3,Southfacing,3,3,0,2.0,1,1.0,4,1.0,3
122,544,Anandlok,1,Southfacing,3,3,1,5.0,1,2.0,5,1.0,4
54,544,Una,1,None,3,2,0,1.0,1,1.0,5,1.0,2
130,545,Anandlok,5,Southfacing,3,2,0,2.0,1,2.0,5,,2
41,545,Una,1,None,2,3,2,1.0,1,1.0,4,1.0,5
154,552,Una,1,None,2,6,1,2.0,1,1.0,6,1.0,7
156,562,Una,2,None,2,2,1,3.0,1,2.0,5,1.0,3
98,567,Anandlok,4,Southfacing,4,2,0,2.0,1,1.0,6,1.0,2
99,570,Anandlok,6,Southfacing,2,3,2,4.0,1,1.0,6,1.0,5
87,571,Una,1,None,2,2,2,1.0,1,1.0,5,1.0,4
146,575,Anandlok,2,Southfacing,3,4,0,3.0,1,2.0,5,1.0,4
22,576,Anandlok,6,Southfacing,3,1,0,3.0,1,1.0,6,1.0,1
17,582,Anandlok,2,None,4,2,0,2.0,1,1.0,5,1.0,2
0,584,Anandlok,0,Southfacing,3,3,0,3.0,2,2.0,8,1.0,3
132,590,Anandlok,4,Southfacing,3,4,0,4.0,1,3.0,5,1.0,4
134,591,Anandlok,6,Southfacing,3,2,0,4.0,1,2.0,7,1.0,2
13,592,Anandlok,5,Southfacing,3,1,0,4.0,1,1.0,5,1.0,1
14,593,Anandlok,4,Southfacing,4,6,0,4.0,1,1.0,6,1.0,6
128,593,Anandlok,0,Southfacing,3,3,2,3.0,1,2.0,6,1.0,5
174,595,Anandlok,0,Southfacing,3,1,0,2.0,1,1.0,5,1.0,1
71,600,Una,1,None,2,3,0,3.0,1,,4,1.0,3
126,606,Anandlok,5,Southfacing,4,1,0,,1,2.0,6,1.0,1
171,609,Anandlok,2,Southfacing,4,3,2,3.0,1,2.0,5,1.0,5
2,610,Anandlok,2,None,3,3,0,2.0,1,1.0,6,1.0,3
59,611,Una,0,Southfacing,2,3,0,3.0,1,1.0,5,1.0,3
4,613,Anandlok,5,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
96,615,Anandlok,0,Southfacing,3,2,0,2.0,1,1.0,5,1.0,2
24,618,Anandlok,4,Southfacing,4,2,0,2.0,1,1.0,5,1.0,2
51,619,Una,0,Southfacing,2,3,1,1.0,1,1.0,5,1.0,4
68,621,Una,2,None,2,3,0,3.0,2,2.0,6,1.0,3
167,624,Una,0,None,2,4,0,2.0,1,1.0,4,1.0,4
177,624,Una,0,Southfacing,2,3,0,2.0,1,1.0,3,1.0,3
81,625,Una,2,Southfacing,2,2,2,1.0,1,1.0,3,1.0,4
109,630,Anandlok,2,None,3,3,0,3.0,2,2.0,6,1.0,3
139,632,Anandlok,5,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
74,635,Una,2,None,3,5,1,3.0,1,2.0,5,1.0,6
11,651,Anandlok,7,Southfacing,4,5,1,4.0,1,1.0,6,1.0,6
60,665,Una,4,Southfacing,2,2,1,,1,,2,1.0,3
105,667,Anandlok,2,None,3,1,0,1.0,1,1.0,5,1.0,1
64,673,Una,2,None,2,4,0,2.0,1,2.0,7,1.0,4
78,675,Una,0,Southfacing,3,4,1,3.0,1,1.0,6,1.0,5
113,682,Anandlok,4,Southfacing,3,1,0,2.0,1,1.0,4,,1
12,701,Anandlok,5,Southfacing,4,2,0,4.0,1,3.0,7,1.0,2
116,708,Una,1,None,3,3,0,3.0,1,2.0,5,1.0,3
125,717,Anandlok,3,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
175,718,Anandlok,4,Southfacing,3,3,0,3.0,1,1.0,4,1.0,3
129,727,Anandlok,0,Southfacing,3,3,0,3.0,1,2.0,8,1.0,3
77,732,Una,0,None,3,4,4,3.0,2,2.0,6,1.0,8
37,733,Una,0,Southfacing,2,2,0,1.0,1,1.0,5,1.0,2
143,738,Anandlok,0,None,3,4,2,2.0,2,2.0,5,1.0,6
131,741,Anandlok,6,None,2,2,0,4.0,1,1.0,2,,2
27,741,Una,1,Southfacing,2,4,0,2.0,1,1.0,5,1.0,4
16,743,Anandlok,5,Southfacing,3,3,0,1.0,1,1.0,5,1.0,3
120,747,Anandlok,0,None,3,2,0,1.0,2,2.0,5,1.0,2
137,750,Anandlok,1,Southfacing,3,2,0,2.0,1,1.0,5,1.0,2
29,751,Una,1,Southfacing,2,2,0,,1,1.0,5,1.0,2
69,754,Una,1,Southfacing,2,2,2,2.0,1,1.0,5,1.0,4
155,755,Una,2,Southfacing,2,4,0,,1,1.0,5,1.0,4
90,765,Anandlok,3,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
136,773,Anandlok,4,Southfacing,4,3,0,3.0,1,1.0,7,1.0,3
165,795,Anandlok,2,None,3,4,0,2.0,1,1.0,6,1.0,4
19,798,Anandlok,5,Southfacing,3,2,0,3.0,1,2.0,5,1.0,2
88,801,Una,0,None,2,3,0,1.0,1,1.0,4,1.0,3
35,803,Una,0,Southfacing,3,4,0,4.0,1,2.0,6,1.0,4
20,804,Anandlok,2,Southfacing,3,5,0,3.0,1,2.0,5,1.0,5
61,819,Una,1,None,2,3,2,1.0,1,1.0,5,1.0,5
163,850,Anandlok,1,None,3,4,0,1.0,1,2.0,4,1.0,4
164,853,Anandlok,3,Southfacing,3,2,1,4.0,1,1.0,5,1.0,3
